s.no,language,error_type,code,stack_trace,fix_brief,fix_solution
1,c,Segmentation Fault (GDB),"void compute_weights_1() {
    int *node_ptr_1 = NULL;
    *node_ptr_1 = 999;
}
int main() {
    compute_weights_1();
}","Program received signal SIGSEGV, Segmentation fault.
0x0000000000401122 in compute_weights_1 () at helpers_1.c:58
58           *node_ptr_1 = 999;
(gdb) backtrace
#0  0x0000000000401122 in compute_weights_1 () at helpers_1.c:58
#1  0x0000000000401150 in main () at helpers_1.c:60",Add protection check blocks or configure the target variable 'node_ptr_1' address correctly before assigning values.,"void compute_weights_1() {
    int val = 999;
    int *node_ptr_1 = &val;
    *node_ptr_1 = 999;
}
int main() {
    compute_weights_1();
}"
2,c,GCC Compiler Error: Syntax Error,"int main() {
    int config_data_2 = 250
    printf(""Value: %d\\n"", config_data_2);
}","main_2.c: In function ‘main’:
main_2.c:3:5: error: expected ‘;’ before ‘printf’
    3 |     printf(""Value: %d\\n"", config_data_2);
      |     ^~~~~~",Include a semi-colon identifier directly after the variable definition for 'config_data_2'.,"int main() {
    int config_data_2 = 250;
    printf(""Value: %d\\n"", config_data_2);
}"
3,c,GCC Compiler Error: Implicit Declaration,"int main() {
    int result = parse_payload_3(10, 20);
    printf(""Result: %d\n"", result);
}","parser_3.c: In function ‘main’:
parser_3.c:2:18: warning: implicit declaration of function ‘calculate_sum’ [-Wimplicit-function-declaration]
    2 |     int result = calculate_sum(10, 20);
      |                  ^~~~~~~~~~~~~
parser_3.c:(.text+0x15): undefined reference to `calculate_sum`
collect2: error: ld returned 1 exit status",Declare the function prototype at the top of the file or include the corresponding header.,"int parse_payload_3(int a, int b);
int main() {
    int result = parse_payload_3(10, 20);
    printf(""Result: %d\n"", result);
}
int parse_payload_3(int a, int b) {
    return a + b;
}"
4,c,GCC Compiler Error: Type Mismatch,"int main() {
    char *str = ""Hello"";
    int val = str;
}","parser_4.c: In function ‘main’:
parser_4.c:3:15: error: invalid initializer / incompatible types when initializing type ‘int’ using type ‘char *’
    3 |     int val = str;
      |               ^~~",Use compatible types or parse string inputs into integer variables using conversion utilities like atoi().,"#include <stdlib.h>
int main() {
    char *str = ""123"";
    int val = atoi(str);
}"
5,c,GCC Compiler Error: Undefined Reference (Linker),"#include <math.h>
int main() {
    double root = sqrt(16.0);
}","/usr/bin/ld: /tmp/ccXyZ123.o: in function `main`:
parser_5.c:3: undefined reference to `sqrt`
collect2: error: ld returned 1 exit status",Link the math library natively by appending the '-lm' linker flag during compilation.,"// Compile using:
// gcc main.c -lm -o main"
6,c,GCC Compiler Warning: Format Mismatch,"int main() {
    char *matrix_6 = ""Alert"";
    printf(""Code: %d\\n"", matrix_6);
}","database_6.c: In function ‘main’:
database_6.c:17:21: warning: format ‘%d’ expects argument of type ‘int’, but argument 2 has type ‘char *’ [-Wformat=]
    17 |     printf(""Code: %d\\n"", matrix_6);
      |                     ~^     ~~~
      |                      |     |
      |                      int   char *
      |                     %s",Update format tags within printf to correctly display the string data type referenced by 'matrix_6'.,"int main() {
    char *matrix_6 = ""Alert"";
    printf(""Code: %s\\n"", matrix_6);
}"
7,c,Clang Compiler Error: Missing Semicolon,"struct User {
    int id;
    char name[50];
}

int main() {
    return 0;
}","network_7.c:4:2: error: expected ';' after struct definition
}
 ^
 ;",Append a semicolon following the closing brace of a struct template block declaration.,"struct User {
    int id;
    char name[50];
};

int main() {
    return 0;
}"
8,c,Clang Compiler Error: Conflicting Types,"void display(int val);
void display(double val) {
    // logic
}","parser_8.c:2:6: error: conflicting types for 'display'
void display(double val) {
     ^
parser_8.c:1:6: note: previous declaration is here
void display(int val);
     ^",Ensure that function prototype signatures align with their physical function definitions exactly.,"void display(double val);
void display(double val) {
    // logic
}"
9,c,AddressSanitizer: heap-use-after-free,"#include <stdlib.h>
int main() {
    int *buf = malloc(sizeof(int) * 10);
    free(buf);
    return buf[2];
}","=================================================================
==12345==ERROR: AddressSanitizer: heap-use-after-free on address 0x603000000018 at pc 0x0000004011b9 bp 0x7ffd9860
READ of size 4 at 0x603000000018 thread T0
    #0 0x4011b8 in main main_9.c:5
    #1 0x7f98c603a0b3 in __libc_start_main (/lib/x86_64-linux-gnu/libc.so.6+0x270b3)",Do not read or write array/pointer targets once free() memory release commands have occurred.,"#include <stdlib.h>
int main() {
    int *buf = malloc(sizeof(int) * 10);
    int val = buf[2];
    free(buf);
    return val;
}"
10,c,AddressSanitizer: stack-buffer-overflow,"int main() {
    int arr[5] = {1, 2, 3, 4, 5};
    return arr[10];
}","=================================================================
==12360==ERROR: AddressSanitizer: stack-buffer-overflow on address 0x7ffe0e84b728 at pc 0x0000004011b2 bp 0x7ffe0e84b6f0
READ of size 4 at 0x7ffe0e84b728 thread T0
    #0 0x4011b1 in main helpers_10.c:3",Ensure array indexes do not traverse past physical array boundaries.,"int main() {
    int arr[5] = {1, 2, 3, 4, 5};
    return arr[4];
}"
