s.no,language,error_type,code,stack_trace,fix_brief,fix_solution
1,cpp,std::out_of_range Exception,"#include <vector>
#include <iostream>
int main() {
    std::vector<int> node_list_1 = {10, 20, 30};
    std::cout << node_list_1.at(9) << std::endl;
}","terminate called after throwing an instance of 'std::out_of_range'
  what():  vector::_M_range_check: __n (which is 9) >= this->size() (which is 3)
Aborted (core dumped)
(gdb) bt
#0  __GI_raise (sig=sig@entry=6)
#1  __GI_abort ()
#2  __gnu_cxx::__verbose_terminate_handler()
#3  std::vector<int, std::allocator<int> >::at(unsigned long) at /usr/include/c++/11/bits/stl_vector.h:1045
#4  main () at session_1.cpp:5",Ensure requested indexes sit cleanly inside the boundary parameters of 'node_list_1'.,"#include <vector>
#include <iostream>
int main() {
    std::vector<int> node_list_1 = {10, 20, 30};
    if (node_list_1.size() > 9) {
        std::cout << node_list_1.at(9) << std::endl;
    }
}"
2,cpp,g++ Compiler Error: Template Mismatch,"#include <map>
#include <string>
int main() {
    std::map<std::string, int> ages;
    ages.insert(10, ""John"");
}","session_2.cpp: In function ‘int main()’:
session_2.cpp:5:17: error: no matching member function for call to 'insert'
    5 |     ages.insert(10, ""John"");
      |     ~~~~~~~~~~~~^~~~~~~~~~~
In file included from /usr/include/c++/11/map:61:
/usr/include/c++/11/bits/stl_map.h:810:7: note: candidate function not viable: requires a single pair object",Instantiate a valid std::pair or use braces/insert_or_assign to add map components.,"#include <map>
#include <string>
int main() {
    std::map<std::string, int> ages;
    ages.insert({""John"", 10});
}"
3,cpp,g++ Compiler Error: Const Correctness Violation,"class Account {
    int balance = 100;
public:
    int get_balance() const {
        balance += 10;
        return balance;
    }
};","main_3.cpp: In member function ‘int Account::get_balance() const’:
main_3.cpp:5:17: error: assignment of member ‘Account::balance’ in read-only object
    5 |         balance += 10;
      |         ~~~~~~~~^~~~~",Remove the const qualifier from the method definition or declare mutable state attributes as 'mutable'.,"class Account {
    int balance = 100;
public:
    int get_balance() {
        balance += 10;
        return balance;
    }
};"
4,cpp,g++ Compiler Error: Missing Namespace Qualifier,"#include <iostream>
int main() {
    cout << ""Standard Output Exception"" << endl;
}","connector_4.cpp: In function ‘int main()’:
connector_4.cpp:3:5: error: ‘cout’ was not declared in this scope; did you mean ‘std::cout’?
    3 |     cout << ""Standard Output Exception"" << endl;
      |     ^~~~
      |     std::cout",Prefix stream descriptors with standard library qualifiers 'std::' or implement 'using namespace std;'.,"#include <iostream>
int main() {
    std::cout << ""Standard Output Exception"" << std::endl;
}"
5,cpp,g++ Compiler Error: Use of Deleted Function (unique_ptr copy),"#include <memory>
struct Task {};
int main() {
    std::unique_ptr<Task> t1 = std::make_unique<Task>();
    std::unique_ptr<Task> t2 = t1;
}","main_5.cpp: In function ‘int main()’:
main_5.cpp:5:32: error: use of deleted function ‘std::unique_ptr<_Tp, _Dp>::unique_ptr(const std::unique_ptr<_Tp, _Dp>&) [with _Tp = Task; _Dp = std::default_delete<Task>]’
    5 |     std::unique_ptr<Task> t2 = t1;
      |                                ^~
In file included from /usr/include/c++/11/memory:76:
/usr/include/c++/11/bits/unique_ptr.h:468:7: note: declared here as deleted",Use std::move to transfer unique ownership or swap to std::shared_ptr for duplicate pointers.,"#include <memory>
struct Task {};
int main() {
    std::unique_ptr<Task> t1 = std::make_unique<Task>();
    std::unique_ptr<Task> t2 = std::move(t1);
}"
6,cpp,g++ Compiler Error: No Matching Constructor,"class Item {
public:
    Item(int id) {}
};
int main() {
    Item my_item;
}","session_6.cpp: In function ‘int main()’:
session_6.cpp:6:10: error: no matching function for call to ‘Item::Item()’
    6 |     Item my_item;
      |          ^~~~~~~
session_6.cpp:3:5: note: candidate: ‘Item::Item(int)’
    3 |     Item(int id) {}
      |     ^~~~
session_6.cpp:3:5: note:   candidate expects 1 argument, 0 provided",Provide a default parameter-less constructor or declare arguments within structural instantiations.,"class Item {
public:
    Item() = default;
    Item(int id) {}
};
int main() {
    Item my_item;
}"
7,cpp,g++ Compiler Error: Private Member Access,"class SessionManager_7 {
    int session_ptr_7 = 99;
};
int main() {
    SessionManager_7 instance;
    int v = instance.session_ptr_7;
}","main_7.cpp: In function ‘int main()’:
main_7.cpp:24:15: error: ‘int SessionManager_7::session_ptr_7’ is private within this context
    24 |     int v = instance.session_ptr_7;
      |               ^~~
main_7.cpp:2:9: note: declared private here
    2 |     int session_ptr_7 = 99;
      |         ^~~",Provide public getter methods or set public modifiers to expose member 'session_ptr_7' securely.,"class SessionManager_7 {
public:
    int session_ptr_7 = 99;
};
int main() {
    SessionManager_7 instance;
    int v = instance.session_ptr_7;
}"
8,cpp,Clang++ Compiler Error: Missing Semicolon in Class,"class ResourceGuard_8 {
    void parse_payload_8();
}
int main() {}","connector_8.cpp:35:2: error: expected ';' after class definition
}
 ^
 ;",Include a terminating semicolon following the closing brace of class declaration 'ResourceGuard_8'.,"class ResourceGuard_8 {
    void parse_payload_8();
};
int main() {}"
9,cpp,Clang++ Compiler Error: Invalid Downcast (dynamic_cast),"class Base {};
class Derived : public Base {};
int main() {
    Base* b = new Base();
    Derived* d = dynamic_cast<Derived*>(b);
}","parser_9.hpp:5:18: error: 'Base' is not polymorphic
    Derived* d = dynamic_cast<Derived*>(b);
                 ^
parser_9.hpp:1:7: note: to be polymorphic, a class must declare at least one virtual function",Add at least one virtual function (usually a virtual destructor) to base classes to support dynamic rtti checks.,"class Base {
public:
    virtual ~Base() = default;
};
class Derived : public Base {};
int main() {
    Base* b = new Derived();
    Derived* d = dynamic_cast<Derived*>(b);
}"
10,cpp,Linker Error: Undefined Reference to Method,"class Logger {
public:
    void log(const char* msg);
};
int main() {
    Logger().log(""Init"");
}","/usr/bin/ld: /tmp/ccAsM920.o: in function `main`:
parser_10.hpp:6: undefined reference to `Logger::log(char const*)`
collect2: error: ld returned 1 exit status",Implement the declared class method in compilation files or link definitions correctly.,"class Logger {
public:
    void log(const char* msg) {}
};
int main() {
    Logger().log(""Init"");
}"
