s.no,language,error_type,code,stack_trace,fix_brief,fix_solution
1,php,PHP Parse Error: Syntax Error,"<?php
$sensorReading_1 = 100
echo ""Value: "" . $sensorReading_1;","PHP Parse error: syntax error, unexpected token ""echo"", expecting "";"" in /var/www/html/index_1.php on line 64",Insert the missing ';' semicolon right after defining the dynamic variable '$sensorReading_1'.,"<?php
$sensorReading_1 = 100;
echo ""Value: "" . $sensorReading_1;"
2,php,PHP Fatal Error: Call to Undefined Function,"<?php
$authHeader_2 = ['val' => 2];
$res = json_ecnode_typo_$2($authHeader_2);","PHP Fatal error: Uncaught Error: Call to undefined function json_ecnode_typo_$2() in /var/www/html/User_2.php:69
Stack trace:
#0 {main}
  thrown in /var/www/html/User_2.php on line 69",Correct the misspelled function reference 'json_ecnode_typo_$2' to use standard built-in formatting functions like 'json_encode'.,"<?php
$authHeader_2 = ['val' => 2];
$res = json_encode($authHeader_2);"
3,php,PHP Warning: Undefined Array Key,"<?php
$bufferStream_3 = ['host' => '127.0.0.1'];
$port = $bufferStream_3['port_missing_3'];","PHP Warning: Undefined array key ""port_missing_3"" in /var/www/html/db_3.php on line 79",Utilize the null coalescing operator (??) to prevent key validation warnings on array '$bufferStream_3'.,"<?php
$bufferStream_3 = ['host' => '127.0.0.1'];
$port = $bufferStream_3['port_missing_3'] ?? 3306;"
4,php,PHP TypeError,"<?php
function calculateTotal(int $price, int $tax): int {
    return $price + $tax;
}
calculateTotal(100, 'free');","PHP Fatal error: Uncaught TypeError: calculateTotal(): Argument #2 ($tax) must be of type int, string given, called in /var/www/html/api_4.php on line 44
Stack trace:
#0 /var/www/html/api_4.php(5): calculateTotal(100, 'free')
#1 {main}
  thrown in /var/www/html/api_4.php on line 40",Pass matching variable types as declared in the function's strict type signature.,"<?php
function calculateTotal(int $price, int $tax): int {
    return $price + $tax;
}
calculateTotal(100, 5);"
5,php,PHP ArgumentCountError,"<?php
function registerUser($username, $email) {
    // registration logic
}
registerUser('alice');","PHP Fatal error: Uncaught ArgumentCountError: Too few arguments to function registerUser(), 1 passed in /var/www/html/db_5.php on line 42 and exactly 2 expected in /var/www/html/db_5.php:2
Stack trace:
#0 /var/www/html/db_5.php(5): registerUser('alice')
#1 {main}
  thrown in /var/www/html/db_5.php on line 376",Provide all mandatory arguments required by the function signature or define default values for parameters.,"<?php
function registerUser($username, $email = null) {
    // registration logic
}
registerUser('alice');"
6,php,PHP Notice: Undefined Variable,"<?php
function calculateMetrics_6() {
    echo $weightsTensor_6;
}
calculateMetrics_6();",PHP Warning: Undefined variable $weightsTensor_6 in /var/www/html/helpers_6.php on line 60,Ensure '$weightsTensor_6' is declared or passed into the local context of function 'calculateMetrics_6()'.,"<?php
function calculateMetrics_6($weightsTensor_6) {
    echo $weightsTensor_6;
}
calculateMetrics_6('active');"
7,php,PHP Fatal Error: Class Not Found,"<?php
$db = new DatabaseConnector();","PHP Fatal error: Uncaught Error: Class ""DatabaseConnector"" not found in /var/www/html/utils_7.php on line 96
Stack trace:
#0 {main}
  thrown in /var/www/html/utils_7.php on line 96","Require the class file definitions using include/require statements, or use Composer autoloading namespaces.","<?php
require_once 'DatabaseConnector.php';
$db = new DatabaseConnector();"
8,php,PHP DivisionByZeroError,"<?php
function getAverageRatio($total, $count) {
    return $total / $count;
}
getAverageRatio(500, 0);","PHP Fatal error: Uncaught DivisionByZeroError: Division by zero in /var/www/html/helpers_8.php on line 13
Stack trace:
#0 /var/www/html/helpers_8.php(5): getAverageRatio(500, 0)
#1 {main}
  thrown in /var/www/html/helpers_8.php on line 13",Verify that denominators are non-zero before attempting mathematical division.,"<?php
function getAverageRatio($total, $count) {
    return $count === 0 ? 0 : $total / $count;
}
getAverageRatio(500, 0);"
9,php,PHP Warning: Invalid Argument Supplied for foreach(),"<?php
$items = null;
foreach ($items as $item) {
    echo $item;
}",PHP Warning: Invalid argument supplied for foreach() in /var/www/html/Controller_9.php on line 14,Verify the target iterable is an array or object before initiating a foreach loop structure.,"<?php
$items = null;
foreach (($items ?? []) as $item) {
    echo $item;
}"
10,php,PHP Deprecated: Passing null to non-nullable parameter,"<?php
$userInput = null;
$cleanInput = strlen($userInput);",PHP Deprecated: Passing null to parameter #1 ($string) of type string is deprecated in /var/www/html/db_10.php on line 33,Ensure parameters passed to standard built-in functions are string variables instead of null values.,"<?php
$userInput = null;
$cleanInput = strlen($userInput ?? '');"
11,php,PHP Parse Error: Syntax Error,"<?php
$config_11 = 100
echo ""Value: "" . $config_11;","PHP Parse error: syntax error, unexpected token ""echo"", expecting "";"" in /var/www/html/Logger_11.php on line 14",Insert the missing ';' semicolon right after defining the dynamic variable '$config_11'.,"<?php
$config_11 = 100;
echo ""Value: "" . $config_11;"
